Dhaula Kuan / A.R.S.D. College,6:30,0:00,0:00
Satya Niketan,6:31,6:30,0:01
Moti Bagh Gurudwara Nanakpura,6:32,6:31,0:01
South Moti Bagh,6:35,6:32,0:03
R.K. Puram Sector 12,6:36,6:35,0:01
R.K. Puram Sector 12 / Sangam Cinema,6:37,6:36,0:01
R.K. Puram Sector 10,6:38,6:37,0:01
Mohan Singh Market,6:40,6:38,0:02
R.K. Puram Sector 2,6:41,6:40,0:01
R.K. Puram Sector 1,6:42,6:41,0:01
R.K. Puram / N.A.B.,6:43,6:42,0:01
Munirka,6:44,6:43,0:01
Munirka / Family Planning Association of India,6:45,6:44,0:01
D.D.A. Flats Munirka,6:46,6:45,0:01
I.S.T.M.,6:48,6:46,0:02
Ber Sarai,6:49,6:48,0:01
School of Physical Science,6:50,6:49,0:01
F.A.I.,6:51,6:50,0:01
Sanskrit Vidyapeeth,6:53,6:51,0:02
Katwaria Sarai,6:54,6:53,0:01
Qutub Hotel,6:55,6:54,0:01
NCERT,6:57,6:55,0:02
Adhchini Village,6:58,6:57,0:01
The Mothers International School,6:59,6:58,0:01
I I T Gate,7:01,6:59,0:02
Sarvapriya Vihar,7:02,7:01,0:01
Panchsheel Enclave,7:05,7:02,0:03
Swami Nagar,7:09,7:05,0:04
Masjid Moth,7:13,7:09,0:04
OS Communication,7:15,7:13,0:02
Pamposh Enclave,7:16,7:15,0:01
Nehru Place,7:20,7:16,0:04
Paras Cinema,7:21,7:20,0:01
Kalkaji Temple,7:23,7:21,0:02
Govind Puri Metro Station,7:24,7:23,0:01
Kalkaji Depot,7:27,7:24,0:03
C Lal Chowk,7:29,7:27,0:02
Okhla Phase 1,7:35,7:29,0:06
Tuglakabad Crossing,7:37,7:35,0:02
Tehkhand Depot,7:39,7:37,0:02
Prem Nagar,7:41,7:39,0:02
Lal Kuan,7:43,7:41,0:02
Suraj Kund Crossing,7:45,7:43,0:02
Prahlad Pur,7:47,7:45,0:02
Rajiv Gandhi Stadium,7:49,7:47,0:02
Jaitpur Crossing,7:50,7:49,0:01
Badarpur Border,7:52,7:50,0:02
